pretty_link,country_or_district,id
"<div><a href=""/places/default/view/Afghanistan-1""><img src=""/places/static/images/flags/af.png"" /> Afghanistan</a></div>",Afghanistan,1814251
"<div><a href=""/places/default/view/Aland-Islands-2""><img src=""/places/static/images/flags/ax.png"" /> Aland Islands</a></div>",Aland Islands,1814252
"<div><a href=""/places/default/view/Albania-3""><img src=""/places/static/images/flags/al.png"" /> Albania</a></div>",Albania,1814253
"<div><a href=""/places/default/view/Algeria-4""><img src=""/places/static/images/flags/dz.png"" /> Algeria</a></div>",Algeria,1814254
"<div><a href=""/places/default/view/American-Samoa-5""><img src=""/places/static/images/flags/as.png"" /> American Samoa</a></div>",American Samoa,1814255
"<div><a href=""/places/default/view/Andorra-6""><img src=""/places/static/images/flags/ad.png"" /> Andorra</a></div>",Andorra,1814256
"<div><a href=""/places/default/view/Angola-7""><img src=""/places/static/images/flags/ao.png"" /> Angola</a></div>",Angola,1814257
"<div><a href=""/places/default/view/Anguilla-8""><img src=""/places/static/images/flags/ai.png"" /> Anguilla</a></div>",Anguilla,1814258
"<div><a href=""/places/default/view/Antarctica-9""><img src=""/places/static/images/flags/aq.png"" /> Antarctica</a></div>",Antarctica,1814259
"<div><a href=""/places/default/view/Antigua-and-Barbuda-10""><img src=""/places/static/images/flags/ag.png"" /> Antigua and Barbuda</a></div>",Antigua and Barbuda,1814260
"<div><a href=""/places/default/view/Argentina-11""><img src=""/places/static/images/flags/ar.png"" /> Argentina</a></div>",Argentina,1814261
"<div><a href=""/places/default/view/Armenia-12""><img src=""/places/static/images/flags/am.png"" /> Armenia</a></div>",Armenia,1814262
"<div><a href=""/places/default/view/Aruba-13""><img src=""/places/static/images/flags/aw.png"" /> Aruba</a></div>",Aruba,1814263
"<div><a href=""/places/default/view/Australia-14""><img src=""/places/static/images/flags/au.png"" /> Australia</a></div>",Australia,1814264
"<div><a href=""/places/default/view/Austria-15""><img src=""/places/static/images/flags/at.png"" /> Austria</a></div>",Austria,1814265
"<div><a href=""/places/default/view/Azerbaijan-16""><img src=""/places/static/images/flags/az.png"" /> Azerbaijan</a></div>",Azerbaijan,1814266
"<div><a href=""/places/default/view/Bahamas-17""><img src=""/places/static/images/flags/bs.png"" /> Bahamas</a></div>",Bahamas,1814267
"<div><a href=""/places/default/view/Bahrain-18""><img src=""/places/static/images/flags/bh.png"" /> Bahrain</a></div>",Bahrain,1814268
"<div><a href=""/places/default/view/Bangladesh-19""><img src=""/places/static/images/flags/bd.png"" /> Bangladesh</a></div>",Bangladesh,1814269
"<div><a href=""/places/default/view/Barbados-20""><img src=""/places/static/images/flags/bb.png"" /> Barbados</a></div>",Barbados,1814270
"<div><a href=""/places/default/view/Belarus-21""><img src=""/places/static/images/flags/by.png"" /> Belarus</a></div>",Belarus,1814271
"<div><a href=""/places/default/view/Belgium-22""><img src=""/places/static/images/flags/be.png"" /> Belgium</a></div>",Belgium,1814272
"<div><a href=""/places/default/view/Belize-23""><img src=""/places/static/images/flags/bz.png"" /> Belize</a></div>",Belize,1814273
"<div><a href=""/places/default/view/Benin-24""><img src=""/places/static/images/flags/bj.png"" /> Benin</a></div>",Benin,1814274
"<div><a href=""/places/default/view/Bermuda-25""><img src=""/places/static/images/flags/bm.png"" /> Bermuda</a></div>",Bermuda,1814275
"<div><a href=""/places/default/view/Bhutan-26""><img src=""/places/static/images/flags/bt.png"" /> Bhutan</a></div>",Bhutan,1814276
"<div><a href=""/places/default/view/Bolivia-27""><img src=""/places/static/images/flags/bo.png"" /> Bolivia</a></div>",Bolivia,1814277
"<div><a href=""/places/default/view/Bonaire-Saint-Eustatius-and-Saba-28""><img src=""/places/static/images/flags/bq.png"" /> Bonaire, Saint Eustatius and Saba</a></div>","Bonaire, Saint Eustatius and Saba",1814278
"<div><a href=""/places/default/view/Bosnia-and-Herzegovina-29""><img src=""/places/static/images/flags/ba.png"" /> Bosnia and Herzegovina</a></div>",Bosnia and Herzegovina,1814279
"<div><a href=""/places/default/view/Botswana-30""><img src=""/places/static/images/flags/bw.png"" /> Botswana</a></div>",Botswana,1814280
"<div><a href=""/places/default/view/Bouvet-Island-31""><img src=""/places/static/images/flags/bv.png"" /> Bouvet Island</a></div>",Bouvet Island,1814281
"<div><a href=""/places/default/view/Brazil-32""><img src=""/places/static/images/flags/br.png"" /> Brazil</a></div>",Brazil,1814282
"<div><a href=""/places/default/view/British-Indian-Ocean-Territory-33""><img src=""/places/static/images/flags/io.png"" /> British Indian Ocean Territory</a></div>",British Indian Ocean Territory,1814283
"<div><a href=""/places/default/view/British-Virgin-Islands-34""><img src=""/places/static/images/flags/vg.png"" /> British Virgin Islands</a></div>",British Virgin Islands,1814284
"<div><a href=""/places/default/view/Brunei-35""><img src=""/places/static/images/flags/bn.png"" /> Brunei</a></div>",Brunei,1814285
"<div><a href=""/places/default/view/Bulgaria-36""><img src=""/places/static/images/flags/bg.png"" /> Bulgaria</a></div>",Bulgaria,1814286
"<div><a href=""/places/default/view/Burkina-Faso-37""><img src=""/places/static/images/flags/bf.png"" /> Burkina Faso</a></div>",Burkina Faso,1814287
"<div><a href=""/places/default/view/Burundi-38""><img src=""/places/static/images/flags/bi.png"" /> Burundi</a></div>",Burundi,1814288
"<div><a href=""/places/default/view/Cambodia-39""><img src=""/places/static/images/flags/kh.png"" /> Cambodia</a></div>",Cambodia,1814289
"<div><a href=""/places/default/view/Cameroon-40""><img src=""/places/static/images/flags/cm.png"" /> Cameroon</a></div>",Cameroon,1814290
"<div><a href=""/places/default/view/Canada-41""><img src=""/places/static/images/flags/ca.png"" /> Canada</a></div>",Canada,1814291
"<div><a href=""/places/default/view/Cape-Verde-42""><img src=""/places/static/images/flags/cv.png"" /> Cape Verde</a></div>",Cape Verde,1814292
"<div><a href=""/places/default/view/Cayman-Islands-43""><img src=""/places/static/images/flags/ky.png"" /> Cayman Islands</a></div>",Cayman Islands,1814293
"<div><a href=""/places/default/view/Central-African-Republic-44""><img src=""/places/static/images/flags/cf.png"" /> Central African Republic</a></div>",Central African Republic,1814294
"<div><a href=""/places/default/view/Chad-45""><img src=""/places/static/images/flags/td.png"" /> Chad</a></div>",Chad,1814295
"<div><a href=""/places/default/view/Chile-46""><img src=""/places/static/images/flags/cl.png"" /> Chile</a></div>",Chile,1814296
"<div><a href=""/places/default/view/Christmas-Island-47""><img src=""/places/static/images/flags/cx.png"" /> Christmas Island</a></div>",Christmas Island,1814297
"<div><a href=""/places/default/view/Cocos-Islands-48""><img src=""/places/static/images/flags/cc.png"" /> Cocos Islands</a></div>",Cocos Islands,1814298
"<div><a href=""/places/default/view/Colombia-49""><img src=""/places/static/images/flags/co.png"" /> Colombia</a></div>",Colombia,1814299
"<div><a href=""/places/default/view/Comoros-50""><img src=""/places/static/images/flags/km.png"" /> Comoros</a></div>",Comoros,1814300
"<div><a href=""/places/default/view/Cook-Islands-51""><img src=""/places/static/images/flags/ck.png"" /> Cook Islands</a></div>",Cook Islands,1814301
"<div><a href=""/places/default/view/Costa-Rica-52""><img src=""/places/static/images/flags/cr.png"" /> Costa Rica</a></div>",Costa Rica,1814302
"<div><a href=""/places/default/view/Croatia-53""><img src=""/places/static/images/flags/hr.png"" /> Croatia</a></div>",Croatia,1814303
"<div><a href=""/places/default/view/Cuba-54""><img src=""/places/static/images/flags/cu.png"" /> Cuba</a></div>",Cuba,1814304
"<div><a href=""/places/default/view/Curacao-55""><img src=""/places/static/images/flags/cw.png"" /> Curacao</a></div>",Curacao,1814305
"<div><a href=""/places/default/view/Cyprus-56""><img src=""/places/static/images/flags/cy.png"" /> Cyprus</a></div>",Cyprus,1814306
"<div><a href=""/places/default/view/Czech-Republic-57""><img src=""/places/static/images/flags/cz.png"" /> Czech Republic</a></div>",Czech Republic,1814307
"<div><a href=""/places/default/view/Democratic-Republic-of-the-Congo-58""><img src=""/places/static/images/flags/cd.png"" /> Democratic Republic of the Congo</a></div>",Democratic Republic of the Congo,1814308
"<div><a href=""/places/default/view/Denmark-59""><img src=""/places/static/images/flags/dk.png"" /> Denmark</a></div>",Denmark,1814309
"<div><a href=""/places/default/view/Djibouti-60""><img src=""/places/static/images/flags/dj.png"" /> Djibouti</a></div>",Djibouti,1814310
"<div><a href=""/places/default/view/Dominica-61""><img src=""/places/static/images/flags/dm.png"" /> Dominica</a></div>",Dominica,1814311
"<div><a href=""/places/default/view/Dominican-Republic-62""><img src=""/places/static/images/flags/do.png"" /> Dominican Republic</a></div>",Dominican Republic,1814312
"<div><a href=""/places/default/view/East-Timor-63""><img src=""/places/static/images/flags/tl.png"" /> East Timor</a></div>",East Timor,1814313
"<div><a href=""/places/default/view/Ecuador-64""><img src=""/places/static/images/flags/ec.png"" /> Ecuador</a></div>",Ecuador,1814314
"<div><a href=""/places/default/view/Egypt-65""><img src=""/places/static/images/flags/eg.png"" /> Egypt</a></div>",Egypt,1814315
"<div><a href=""/places/default/view/El-Salvador-66""><img src=""/places/static/images/flags/sv.png"" /> El Salvador</a></div>",El Salvador,1814316
"<div><a href=""/places/default/view/Equatorial-Guinea-67""><img src=""/places/static/images/flags/gq.png"" /> Equatorial Guinea</a></div>",Equatorial Guinea,1814317
"<div><a href=""/places/default/view/Eritrea-68""><img src=""/places/static/images/flags/er.png"" /> Eritrea</a></div>",Eritrea,1814318
"<div><a href=""/places/default/view/Estonia-69""><img src=""/places/static/images/flags/ee.png"" /> Estonia</a></div>",Estonia,1814319
"<div><a href=""/places/default/view/Ethiopia-70""><img src=""/places/static/images/flags/et.png"" /> Ethiopia</a></div>",Ethiopia,1814320
"<div><a href=""/places/default/view/Faroe-Islands-71""><img src=""/places/static/images/flags/fo.png"" /> Faroe Islands</a></div>",Faroe Islands,1814321
"<div><a href=""/places/default/view/Fiji-72""><img src=""/places/static/images/flags/fj.png"" /> Fiji</a></div>",Fiji,1814322
"<div><a href=""/places/default/view/Finland-73""><img src=""/places/static/images/flags/fi.png"" /> Finland</a></div>",Finland,1814323
"<div><a href=""/places/default/view/France-74""><img src=""/places/static/images/flags/fr.png"" /> France</a></div>",France,1814324
"<div><a href=""/places/default/view/French-Guiana-75""><img src=""/places/static/images/flags/gf.png"" /> French Guiana</a></div>",French Guiana,1814325
"<div><a href=""/places/default/view/French-Polynesia-76""><img src=""/places/static/images/flags/pf.png"" /> French Polynesia</a></div>",French Polynesia,1814326
"<div><a href=""/places/default/view/French-Southern-Territories-77""><img src=""/places/static/images/flags/tf.png"" /> French Southern Territories</a></div>",French Southern Territories,1814327
"<div><a href=""/places/default/view/Gabon-78""><img src=""/places/static/images/flags/ga.png"" /> Gabon</a></div>",Gabon,1814328
"<div><a href=""/places/default/view/Gambia-79""><img src=""/places/static/images/flags/gm.png"" /> Gambia</a></div>",Gambia,1814329
"<div><a href=""/places/default/view/Georgia-80""><img src=""/places/static/images/flags/ge.png"" /> Georgia</a></div>",Georgia,1814330
"<div><a href=""/places/default/view/Germany-81""><img src=""/places/static/images/flags/de.png"" /> Germany</a></div>",Germany,1814331
"<div><a href=""/places/default/view/Ghana-82""><img src=""/places/static/images/flags/gh.png"" /> Ghana</a></div>",Ghana,1814332
"<div><a href=""/places/default/view/Gibraltar-83""><img src=""/places/static/images/flags/gi.png"" /> Gibraltar</a></div>",Gibraltar,1814333
"<div><a href=""/places/default/view/Greece-84""><img src=""/places/static/images/flags/gr.png"" /> Greece</a></div>",Greece,1814334
"<div><a href=""/places/default/view/Greenland-85""><img src=""/places/static/images/flags/gl.png"" /> Greenland</a></div>",Greenland,1814335
"<div><a href=""/places/default/view/Grenada-86""><img src=""/places/static/images/flags/gd.png"" /> Grenada</a></div>",Grenada,1814336
"<div><a href=""/places/default/view/Guadeloupe-87""><img src=""/places/static/images/flags/gp.png"" /> Guadeloupe</a></div>",Guadeloupe,1814337
"<div><a href=""/places/default/view/Guam-88""><img src=""/places/static/images/flags/gu.png"" /> Guam</a></div>",Guam,1814338
"<div><a href=""/places/default/view/Guatemala-89""><img src=""/places/static/images/flags/gt.png"" /> Guatemala</a></div>",Guatemala,1814339
"<div><a href=""/places/default/view/Guernsey-90""><img src=""/places/static/images/flags/gg.png"" /> Guernsey</a></div>",Guernsey,1814340
"<div><a href=""/places/default/view/Guinea-91""><img src=""/places/static/images/flags/gn.png"" /> Guinea</a></div>",Guinea,1814341
"<div><a href=""/places/default/view/Guinea-Bissau-92""><img src=""/places/static/images/flags/gw.png"" /> Guinea-Bissau</a></div>",Guinea-Bissau,1814342
"<div><a href=""/places/default/view/Guyana-93""><img src=""/places/static/images/flags/gy.png"" /> Guyana</a></div>",Guyana,1814343
"<div><a href=""/places/default/view/Haiti-94""><img src=""/places/static/images/flags/ht.png"" /> Haiti</a></div>",Haiti,1814344
"<div><a href=""/places/default/view/Heard-Island-and-McDonald-Islands-95""><img src=""/places/static/images/flags/hm.png"" /> Heard Island and McDonald Islands</a></div>",Heard Island and McDonald Islands,1814345
"<div><a href=""/places/default/view/Honduras-96""><img src=""/places/static/images/flags/hn.png"" /> Honduras</a></div>",Honduras,1814346
"<div><a href=""/places/default/view/Hungary-97""><img src=""/places/static/images/flags/hu.png"" /> Hungary</a></div>",Hungary,1814347
"<div><a href=""/places/default/view/Iceland-98""><img src=""/places/static/images/flags/is.png"" /> Iceland</a></div>",Iceland,1814348
"<div><a href=""/places/default/view/Indonesia-99""><img src=""/places/static/images/flags/id.png"" /> Indonesia</a></div>",Indonesia,1814349
"<div><a href=""/places/default/view/Iran-100""><img src=""/places/static/images/flags/ir.png"" /> Iran</a></div>",Iran,1814350
